Année;Compte Administratif total;Périmètre analysé;Hors périmètre d'analyse;Masse Salariale;Résultats favorables (Très + Plutôt favorables);Résultats très favorables;Résultats plutôt favorables;Résultats neutres;Résultats défavorables;Résultats indéfinis
2023;11714933250.179998;7875525543.63;1202251102.9399981;2637156603.61;1385208310.8004627;1069803440.5035135;315404870.2969493;3098476159.044799;141772126.06473753;3250068947.720001
2021;10863692794.01744;7110739632.15;1273405982.1774411;2479547179.69;977237288.597182;770199431.2258253;207037857.3713568;2307285695.736929;118010890.59542926;3708205757.220459
2024;12028941032.41;8215308116.239963;1012486740.8200374;2801146175.35;1423062403.8551402;1172863776.998328;250198626.85681215;6541238680.705962;192014262.84885976;58992768.83000004
2022;11908156571.439093;7469652610.31;1894671905.7290921;2543832055.4;1237047718.333241;896971111.8441116;340076606.48912954;3005772798.9442654;249502073.8595064;2977330019.1729884
2020;10905161184.94188;7143688536.52;1309298438.451879;2452174209.97;969108053.0256937;769889821.5851737;199218231.44052;2320240554.668495;86281066.89426462;3768058861.9315467
2019;10826000000.0;7074776211.33;1327688273.0900002;2423535515.58;1018480000.0;926290000.0;92190000.0;2414500000.0;79020000.0;3562776211.3300004
